"datecode","t","species","gb2","gc","sr","wsn","wsh","win","wih","wan","wah","En","Eh","Tn","Th","gtn.est","gsn.est","gsn.corr","phi","gamma","eta","hleaf.rough","hleaf","pct.dE","deltaw"
"202505070000",13.0422216000001,"MAGR (sp)",4.5,0.00265,0,0.0323897363913184,0.0317488896475346,0.0231357150393101,0.0231357150393101,0.007391865666,0.01561026434,0.002970192,0.002960511,25.37422271,25.03820057,0.116454418614248,0.117220732830785,0.196706719232155,0.0134718326366495,0.0874252085476246,2.21880000450034,0.696884147045878,0.714291550872616,-0.325938525186254,15.7438493733101
"202505070000",13.1765279999998,"MAGR (sp)",4.5,0.00265,0,0.0323616086812111,0.0316806705422257,0.0236156134416314,0.0236156134416314,0.007325157906,0.01568646383,0.002949396,0.002990299,25.35959635,25.00208307,0.115466446528022,0.11612519307545,0.187817947466239,0.0141094077309962,0.0834746433183286,2.18310901524895,0.704975478376986,0.729741641531638,1.38682631969393,16.2904555356314
"202505070000",13.2945839999999,"MAGR (sp)",4.5,0.00265,0,0.0322110939520809,0.0316587565686988,0.0230767970607043,0.0230767970607043,0.007417309523,0.01566159056,0.002982523,0.002967967,25.2811401,24.99046668,0.117909659816282,0.118836263537406,0.198817282810099,0.013328821129354,0.0883632368044883,2.2219654386697,0.699675848841225,0.716423884734704,-0.488043176867363,15.6594875377043
"202505070000",13.4691672,"MAGR (sp)",4.5,0.00265,0,0.0322004163980541,0.0316974782690489,0.0233155698474426,0.0233155698474426,0.007525283557,0.01582063232,0.003024707,0.003032097,25.27556226,25.01098794,0.120146372371318,0.121323640714765,0.200057175364127,0.0132462132146808,0.088914300161834,2.20546783142434,0.70428508994836,0.72407665662521,0.24432118549003,15.7902862904426
"202505120000",9.23791679999999,"HEAN",4.5,0.0016,1,0.0287958065860354,0.0289338223875966,0.0266321677308411,0.0266321677308411,0.02119015784,0.02415264708,0.007036364,0.006946062,23.40889845,23.48822428,0.902027494141092,0.562484872386472,0.875383417888991,0.00182777051438607,0.389059296839552,2.08402340955972,0.908480327307833,0.924862710522457,-1.28336169078234,5.44200989084115
"202505120000",9.37722239999971,"HEAN",4.5,0.0016,1,0.0288506630338825,0.0289975540531918,0.0266395827929231,0.0266395827929231,0.02113795645,0.02413709919,0.006987415,0.006918253,23.44046734,23.52474323,0.883317589110857,0.547926983490602,0.853964609455457,0.00187361394404888,0.379539826424648,2.08208808542642,0.906695587334191,0.923361198376528,-0.989808105000207,5.50162634292314
"202505120000",9.50083440000003,"HEAN",4.5,0.0016,1,0.0289272678722264,0.0290479358383406,0.0266477573746273,0.0266477573746273,0.02115432445,0.02412012291,0.006985382,0.006927194,23.48446449,23.55356301,0.876175485049371,0.542409466580901,0.855367579188948,0.00187054085159167,0.380163368528421,2.07851588122543,0.904298388441728,0.921198555367629,-0.832996677919687,5.49343292462734
"202505120000",9.64180559999977,"HEAN",4.5,0.0016,1,0.0289552337474136,0.0290573251080346,0.0266580851695892,0.0266580851695892,0.02120803833,0.02413957669,0.006982075,0.006903475,23.50050105,23.55892911,0.878634495362649,0.544306678581436,0.864209262172848,0.00185140343899715,0.384093005410155,2.08290872810163,0.904224052055027,0.920665514294815,-1.12573984094986,5.45004683958916
"202505200000",14.3876399999997,"HEAR",4.5,0.000955,0,0.0266142578711281,0.0260574900258362,0.0245631190641974,0.0245631190641974,0.01283050009,0.01881258526,0.002804597,0.002777522,22.10878497,21.76209517,0.199458211522144,0.216755906632585,0.259730945835365,0.00367688184759217,0.115435975926829,2.23422842597627,0.909181873205527,0.922930828397966,-0.965379339705479,11.7326189741974
"202505200000",14.5473600000003,"HEAR",4.5,0.000955,0,0.0265512021634842,0.026031662495197,0.0242910040991897,0.0242910040991897,0.01299065003,0.01876500521,0.002815997,0.002787397,22.0698411,21.74585629,0.203555290688236,0.22169407718049,0.272215381692265,0.00350825142232268,0.120984614085451,2.2313495240006,0.901158206033384,0.914873983845336,-1.01562608198802,11.3003540691897
